similarity (false positives) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
overlapNormalizedShingles2,0,0,0,0,0, no result,0,0,0,0
overlapNormalizedShingles3,0,0,0,0,0, no result,0,0,0, no result
overlapNormalizedTokens,0,0,0,0,0,0,0,0,0,0
overlapShingles2,0,0,0,0,0, no result,0,0,0,0
overlapShingles3,0, no result,0,0,0, no result,0,0,0, no result
overlapTokens,0,0,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength1,0,13,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength2,0,1,0,0,0,0,0,0,0,0
rkrGst2GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGst2GramDiceVariantMinMatchLength1,0,16,0,0,0,0,0,0,0,0
rkrGst2GramDiceVariantMinMatchLength2,0,18,0,0,0,0,0,0,0,0
rkrGst2GramDiceVariantMinMatchLength3,0,11,0,0,0,0,0,0,0,0
rkrGst2GramJaccardMinMatchLength1,0,9,0,0,0,0,0,0,0,0
rkrGst2GramJaccardMinMatchLength2,0,11,0,0,0,0,0,0,0,0
rkrGst2GramJaccardMinMatchLength3,0,9,0,0,0,0,0,0,0,0
rkrGst2GramOverlapMinMatchLength1,0,16,1,0,0,0,1,0,0,0
rkrGst2GramOverlapMinMatchLength2,0,10,1,0,0,0,1,0,0,0
rkrGst2GramOverlapMinMatchLength3,0,2,1,0,0,0,0,0,0,0
rkrGst3GramDiceMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGst3GramDiceMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGst3GramDiceMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGst3GramDiceVariantMinMatchLength1,0,19,0,0,0,0,0,0,0,0
rkrGst3GramDiceVariantMinMatchLength2,0,10,0,0,0,0,0,0,0,0
rkrGst3GramDiceVariantMinMatchLength3,0,19,0,0,0,0,0,0,0,0
rkrGst3GramJaccardMinMatchLength1,0,9,0,0,0,0,0,0,0,0
rkrGst3GramJaccardMinMatchLength2,0,9,0,0,0,0,0,0,0,0
rkrGst3GramJaccardMinMatchLength3,0,9,0,0,0,0,0,0,0,0
rkrGst3GramOverlapMinMatchLength1,0,10,1,0,0,0,0,0,0,0
rkrGst3GramOverlapMinMatchLength2,0,2,0,0,0,0,0,0,0,0
rkrGst3GramOverlapMinMatchLength3,0,8,0,0,0,0,0,0,0,0
rkrGst4GramDiceMinMatchLength1,0,1,0,0,0,0,0,0,0,0
rkrGst4GramDiceMinMatchLength2,0,1,0,0,0,0,0,0,0,0
rkrGst4GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGst4GramDiceVariantMinMatchLength1,0,18,0,0,0,0,0,0,0,0
rkrGst4GramDiceVariantMinMatchLength2,0,26,0,0,0,0,0,0,0,0
rkrGst4GramDiceVariantMinMatchLength3,0,13,0,0,0,0,0,0,0,0
rkrGst4GramJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGst4GramJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGst4GramJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGst4GramOverlapMinMatchLength1,0,9,0,0,0,0,0,0,0,0
rkrGst4GramOverlapMinMatchLength2,0,8,0,0,0,0,0,0,0,0
rkrGst4GramOverlapMinMatchLength3,0,8,0,0,0,0,0,0,0,0
rkrGst5GramDiceMinMatchLength1,0,1,0,0,0,0,0,0,0,0
rkrGst5GramDiceMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGst5GramDiceMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGst5GramDiceVariantMinMatchLength1,0,26,0,0,0,0,0,0,0,0
rkrGst5GramDiceVariantMinMatchLength2,0,13,0,0,0,0,0,0,0,0
rkrGst5GramDiceVariantMinMatchLength3,0,13,0,0,0,0,0,0,0,0
rkrGst5GramJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGst5GramJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGst5GramJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGst5GramOverlapMinMatchLength1,0,8,0,0,0,0,0,0,0,0
rkrGst5GramOverlapMinMatchLength2,0,8,0,0,0,0,0,0,0,0
rkrGst5GramOverlapMinMatchLength3,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceMinMatchLength1,0,25,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceMinMatchLength2,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,16,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,11,0,0,0,0,0,0,0,0
rkrGstNormalized2GramJaccardMinMatchLength1,0,10,0,0,0,0,0,0,0,0
rkrGstNormalized2GramJaccardMinMatchLength2,0,9,0,0,0,0,0,0,0,0
rkrGstNormalized2GramJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized2GramOverlapMinMatchLength1,0,28,1,0,0,0,1,0,0,0
rkrGstNormalized2GramOverlapMinMatchLength2,0,8,1,0,0,0,1,0,0,0
rkrGstNormalized2GramOverlapMinMatchLength3,0,20,4,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceMinMatchLength2,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,11,0,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,18,0,0,0,0,0,0,0,0
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,5,0,0,0,0,0,0,0,0
rkrGstNormalized3GramJaccardMinMatchLength1,0,4,0,0,0,0,0,0,0,0
rkrGstNormalized3GramJaccardMinMatchLength2,0,4,0,0,0,0,0,0,0,0
rkrGstNormalized3GramJaccardMinMatchLength3,0,3,0,0,0,0,0,0,0,0
rkrGstNormalized3GramOverlapMinMatchLength1,0,10,0,0,7,0,0,0,0,0
rkrGstNormalized3GramOverlapMinMatchLength2,0,8,0,0,7,0,0,0,0,0
rkrGstNormalized3GramOverlapMinMatchLength3,0,8,0,0,7,0,0,0,0,0
rkrGstNormalized4GramDiceMinMatchLength1,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized4GramDiceMinMatchLength2,0,2,0,0,0,0,0,0,0,0
rkrGstNormalized4GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,6,0,0,0,0,0,0,0,0
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,6,0,0,0,0,0,0,0,0
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,6,0,0,0,0,0,0,0,0
rkrGstNormalized4GramJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized4GramJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized4GramJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized4GramOverlapMinMatchLength1,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized4GramOverlapMinMatchLength2,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized4GramOverlapMinMatchLength3,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceMinMatchLength1,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceMinMatchLength2,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceMinMatchLength3,0,1,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,13,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,13,0,0,0,0,0,0,0,0
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,13,0,0,0,0,0,0,0,0
rkrGstNormalized5GramJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized5GramJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized5GramJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalized5GramOverlapMinMatchLength1,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized5GramOverlapMinMatchLength2,0,8,0,0,0,0,0,0,0,0
rkrGstNormalized5GramOverlapMinMatchLength3,0,8,0,0,0,0,0,0,0,0
rkrGstNormalizedShingle2DiceMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2DiceMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2DiceMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,10,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,10,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstNormalizedShingle3DiceMinMatchLength1,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,10,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,10,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,10,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,0,0,0,0, no result,0,0,0, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,7,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenDiceMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenDiceMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,19,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenOverlapMinMatchLength1,0,10,0,0,0,0,4,0,0,0
rkrGstNormalizedTokenOverlapMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstNormalizedTokenOverlapMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstShingle2DiceMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2DiceMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2DiceMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2DiceVariantMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2DiceVariantMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2DiceVariantMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2JaccardMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2JaccardMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2JaccardMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2OverlapMinMatchLength1,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2OverlapMinMatchLength2,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle2OverlapMinMatchLength3,0,0,0,0,0, no result,0,0,0,0
rkrGstShingle3DiceMinMatchLength1,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3JaccardMinMatchLength1,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,0,0,0, no result,0,0,0, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,0,0,0, no result,0,0,0, no result
rkrGstTokenDiceMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstTokenDiceMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstTokenDiceMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstTokenDiceVariantMinMatchLength1,0,21,0,0,0,0,0,0,0,0
rkrGstTokenDiceVariantMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstTokenDiceVariantMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstTokenJaccardMinMatchLength1,0,0,0,0,0,0,0,0,0,0
rkrGstTokenJaccardMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstTokenJaccardMinMatchLength3,0,0,0,0,0,0,0,0,0,0
rkrGstTokenOverlapMinMatchLength1,0,18,0,0,7,0,0,0,0,0
rkrGstTokenOverlapMinMatchLength2,0,0,0,0,0,0,0,0,0,0
rkrGstTokenOverlapMinMatchLength3,0,0,0,0,0,0,0,0,0,0
winnowing2GramDice,0,0,0,0,0,0,0,0,0,0
winnowing2GramDiceVariant,0,17,0,0,0,0,0,0,0,0
winnowing2GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowing2GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowing3GramDice,0,0,0,0,0,0,0,0,0,0
winnowing3GramDiceVariant,0,24,0,0,0,0,0,0,0,0
winnowing3GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowing3GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowing4GramDice,0,0,0,0,0,0,0,0,0,0
winnowing4GramDiceVariant,0,0,0,0,0,0,0,0,0,0
winnowing4GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowing4GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowing5GramDice,0,0,0,0,0,0,0,0,0,0
winnowing5GramDiceVariant,0,0,0,0,0,0,0,0,0,0
winnowing5GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowing5GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowingNormalized2GramDice,0,0,0,0,0,0,0,0,0,0
winnowingNormalized2GramDiceVariant,0,55,0,0,0,0,0,0,0,0
winnowingNormalized2GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowingNormalized2GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowingNormalized3GramDice,0,0,0,0,0,0,0,0,0,0
winnowingNormalized3GramDiceVariant,0,10,0,0,0,0,0,0,0,0
winnowingNormalized3GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowingNormalized3GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowingNormalized4GramDice,0,0,0,0,0,0,0,0,0,0
winnowingNormalized4GramDiceVariant,0,0,0,0,0,0,0,0,0,0
winnowingNormalized4GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowingNormalized4GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowingNormalized5GramDice,0,0,0,0,0,0,0,0,0,0
winnowingNormalized5GramDiceVariant,0,0,0,0,0,0,0,0,0,0
winnowingNormalized5GramJaccard,0,0,0,0,0,0,0,0,0,0
winnowingNormalized5GramOverlap,0,0,0,0,0,0,0,0,0,0
winnowingNormalizedShingle2Dice,0,0,0,0,0, no result,0,0,0,0
winnowingNormalizedShingle2DiceVariant,0,10,0,0,0, no result,0,0,0,0
winnowingNormalizedShingle2Jaccard,0,0,0,0,0, no result,0,0,0,0
winnowingNormalizedShingle2Overlap,0,0,0,0,0, no result,0,0,0,0
winnowingNormalizedShingle3Dice,0,0,0,0,0, no result,0,0,0, no result
winnowingNormalizedShingle3DiceVariant,0,0,0,0,0, no result,0,0,0, no result
winnowingNormalizedShingle3Jaccard,0,0,0,0,0, no result,0,0,0, no result
winnowingNormalizedShingle3Overlap,0,0,0,0,0, no result,0,0,0, no result
winnowingNormalizedTokenDice,0,0,0,0,0,0,0,0,0,0
winnowingNormalizedTokenDiceVariant,0,6,0,0,0,0,0,0,0,0
winnowingNormalizedTokenJaccard,0,0,0,0,0,0,0,0,0,0
winnowingNormalizedTokenOverlap,0,0,0,0,0,0,0,0,0,0
winnowingShingle2Dice,0,0,0,0,0, no result,0,0,0,0
winnowingShingle2DiceVariant,0,0,0,0,0, no result,0,0,0,0
winnowingShingle2Jaccard,0,0,0,0,0, no result,0,0,0,0
winnowingShingle2Overlap,0,0,0,0,0, no result,0,0,0,0
winnowingShingle3Dice,0, no result,0,0,0, no result,0,0,0, no result
