max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
overlapNormalized5Grams, 0, 22, 2, 1, 4, 2, 4, 0, 3, 0
manhattanNormalizedTokens, 0, 25, 1, 2, 2, 0, 2, 0, 1, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 586, 19, 4, 61, 1, 65, 0, 46, 4
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 511, 17, 4, 52, 1, 60, 0, 44, 4
rkrGstTokenJaccardMinMatchLength2, 0, 43, 2, 0, 7, 0, 6, 0, 4, 0
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 48, 1, 0, 9, 0, 6, 0, 4, 0
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 87, 4, 2, 14, no result, 19, 0, 11, no result
rkrGstNormalized5GramDiceMinMatchLength3, 0, 569, 19, 5, 58, 1, 65, 0, 46, 3
jaccard3Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignmentStandard, 0, 474, 25, 2, 54, 1, 98, 0, 48, 2
rkrGst5GramDiceMinMatchLength2, 0, 737, 20, 4, 81, 2, 80, 0, 58, 4
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 625, 18, 4, 52, 2, 74, 0, 49, 4
winnowing5GramJaccard, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGst4GramDiceMinMatchLength2, 0, 719, 23, 5, 75, 2, 78, 0, 68, 4
winnowing2GramJaccard, 0, 14, 1, 1, 2, 0, 3, 0, 4, 0
diceVariantNormalizedPadding5grams, 0, 23, 2, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 79, 3, 1, 14, no result, 18, 0, 9, 1
winnowingNormalizedShingle2Jaccard, 0, 21, 1, 2, 4, no result, 4, 0, 3, 0
cosineNormalized4GramsTermFrequency, 0, 50, 3, 1, 7, 0, 8, 0, 6, 1
winnowingNormalizedShingle3DiceVariant, 0, 23, 1, 1, 4, no result, 4, 0, 3, no result
damerauLevenshteinNormalized, 0, 695, 35, 2, 73, 1, 143, 0, 66, 3
diceNormalized2Grams, 0, 17, 1, 1, 3, 0, 4, 0, 3, 0
longestCommonSubsequence5GramFingerprint, 0, 37, 1, 0, 3, 0, 4, 0, 2, 0
winnowingNormalized2GramJaccard, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
longestCommonSubsequence3GramFingerprintNormalized, 0, 110, 7, 1, 12, 0, 25, 0, 12, 1
cosineNormalizedShingle3Bool, 0, 32, 2, 2, 8, no result, 13, 0, 6, no result
rkrGstTokenDiceMinMatchLength1, 0, 93, 1, 1, 9, 0, 7, 0, 4, 0
longestCommonSubsequenceStandard, 0, 206, 11, 1, 23, 0, 41, 0, 22, 1
jaccardNormalizedPadding4grams, 0, 24, 2, 1, 4, 0, 5, 0, 3, 0
winnowing4GramJaccard, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
winnowing5GramOverlap, 0, 17, 1, 0, 2, 0, 4, 0, 2, 0
diceShingles2, 0, 12, 0, 0, 2, no result, 4, 0, 1, 0
rkrGst4GramJaccardMinMatchLength2, 0, 717, 21, 5, 88, 2, 86, 0, 69, 5
winnowingShingle3DiceVariant, 0, no result, 1, 1, 3, no result, 3, 0, 2, no result
optimalAlignmentShingle3FingerprintNormalized, 0, 29, 2, 1, 6, no result, 8, 0, 4, no result
diceTokens, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0
winnowing3GramJaccard, 0, 16, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignment2GramFingerprint, 0, 284, 15, 1, 31, 0, 57, 0, 29, 1
dice4Grams, 0, 17, 1, 0, 2, 0, 4, 0, 2, 0
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 589, 21, 5, 58, 1, 63, 0, 46, 4
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 88, 4, 1, 14, no result, 21, 0, 9, no result
winnowingShingle3Jaccard, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
winnowing3GramOverlap, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstShingle2DiceMinMatchLength2, 0, 57, 2, 1, 10, no result, 8, 0, 6, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 76, 3, 1, 15, no result, 15, 0, 8, 1
rkrGst4GramOverlapMinMatchLength2, 0, 692, 21, 4, 71, 2, 77, 0, 54, 4
rkrGst2GramOverlapMinMatchLength3, 0, 597, 19, 5, 66, 2, 67, 0, 50, 3
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 93, 5, 1, 15, no result, 17, 0, 11, no result
jaccardNormalizedPadding2grams, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 78, 4, 1, 13, no result, 17, 0, 9, 1
diceVariantNormalized5Grams, 0, 25, 1, 1, 4, 0, 4, 0, 3, 0
rkrGst5GramDiceMinMatchLength1, 0, 794, 22, 5, 98, 2, 95, 0, 72, 5
diceNormalizedShingles2, 0, 21, 1, 1, 3, no result, 4, 0, 3, 0
longestCommonSubsequence3GramFingerprint, 0, 25, 1, 0, 4, 0, 5, 0, 3, 0
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 55, 1, 0, 9, 0, 6, 0, 6, 0
winnowingNormalized5GramJaccard, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
winnowingNormalized4GramDice, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
optimalAlignment5GramFingerprintNormalized, 0, 178, 12, 1, 21, 0, 45, 0, 21, 1
winnowingNormalized5GramDiceVariant, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
winnowingNormalized4GramJaccard, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignmentNormalized, 0, 444, 27, 2, 53, 1, 100, 0, 50, 2
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 51, 1, 0, 9, 0, 7, 0, 5, 0
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 2, 0, 12, no result, 11, 0, 7, no result
rkrGst4GramJaccardMinMatchLength1, 0, 784, 23, 5, 81, 2, 91, 0, 59, 5
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 562, 18, 4, 62, 1, 64, 0, 46, 3
rkrGst2GramDiceVariantMinMatchLength1, 0, 687, 20, 5, 78, 2, 72, 0, 53, 4
optimalAlignment3GramFingerprintNormalized, 0, 186, 13, 1, 22, 0, 44, 0, 21, 1
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 23, 2, 1, 4, no result, 5, 0, 3, no result
rkrGst2GramOverlapMinMatchLength1, 0, 681, 20, 6, 78, 2, 75, 0, 54, 4
rkrGst3GramJaccardMinMatchLength1, 0, 699, 21, 5, 76, 2, 80, 0, 53, 4
rkrGstNormalized5GramDiceMinMatchLength1, 0, 628, 19, 4, 62, 1, 76, 0, 57, 4
rkrGstShingle2JaccardMinMatchLength3, 0, 65, 2, 1, 13, no result, 10, 0, 6, 0
winnowingNormalized3GramDice, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
rkrGstTokenOverlapMinMatchLength3, 0, 43, 1, 0, 7, 0, 6, 0, 4, 0
rkrGst3GramOverlapMinMatchLength3, 0, 727, 21, 4, 69, 2, 71, 0, 50, 4
jaccardNormalized4Grams, 0, 25, 2, 1, 4, 0, 5, 0, 3, 0
rkrGst4GramDiceMinMatchLength3, 0, 691, 21, 5, 75, 2, 75, 0, 56, 5
rkrGstShingle2JaccardMinMatchLength2, 0, 58, 2, 1, 11, no result, 9, 0, 6, 0
rkrGstNormalized2GramDiceMinMatchLength3, 0, 484, 16, 4, 46, 1, 56, 0, 37, 4
diceVariantNormalizedShingles2, 0, 24, 1, 1, 4, no result, 4, 0, 3, 0
jaccardNormalizedShingles3, 0, 23, 1, 1, 4, no result, 5, 0, 3, no result
cosineNormalized3GramsTermFrequency, 0, 30, 2, 1, 5, 0, 6, 0, 4, 1
jaccard4Grams, 0, 20, 1, 0, 3, 0, 4, 0, 2, 0
cosineNormalized2GramsBool, 0, 24, 2, 1, 4, 0, 4, 0, 3, 1
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 82, 4, 1, 14, no result, 17, 0, 9, no result
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 606, 34, 5, 58, 2, 68, 0, 45, 4
winnowingNormalized2GramDiceVariant, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
rkrGstTokenOverlapMinMatchLength2, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
overlapNormalizedPadding5grams, 0, 21, 1, 1, 3, 0, 5, 0, 4, 0
rkrGst4GramDiceVariantMinMatchLength2, 0, 696, 23, 5, 73, 2, 83, 0, 67, 5
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 57, 2, 1, 12, 0, 9, 0, 6, 0
overlapShingles2, 0, 12, 1, 0, 2, no result, 2, 0, 1, 0
winnowingShingle3Overlap, 0, no result, 0, 0, 2, no result, 3, 0, 2, no result
winnowing4GramDiceVariant, 0, 18, 1, 0, 3, 0, 3, 0, 2, 0
diceVariant3Grams, 0, 15, 1, 0, 3, 0, 4, 0, 2, 0
jaccardNormalized3Grams, 0, 29, 2, 1, 4, 0, 4, 0, 5, 1
rkrGstShingle2DiceVariantMinMatchLength3, 0, 74, 2, 1, 10, no result, 10, 0, 6, 0
diceVariantNormalizedPadding2grams, 0, 17, 2, 1, 3, 0, 4, 0, 3, 0
overlapNormalized3Grams, 0, 23, 1, 1, 3, 0, 4, 0, 3, 0
rkrGst3GramDiceVariantMinMatchLength1, 0, 766, 25, 6, 83, 2, 92, 0, 56, 6
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 539, 18, 4, 54, 1, 66, 0, 42, 3
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 97, 4, 1, 15, no result, 18, 0, 10, no result
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 542, 20, 5, 52, 2, 62, 0, 46, 3
optimalAlignment4GramFingerprintNormalized, 0, 185, 12, 1, 21, 0, 45, 0, 21, 1
rkrGstShingle2OverlapMinMatchLength3, 0, 57, 2, 0, 14, no result, 9, 0, 6, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 59, 2, 0, 10, no result, 9, 0, 6, 0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 502, 16, 4, 48, 1, 63, 0, 40, 3
rkrGst4GramOverlapMinMatchLength3, 0, 737, 20, 5, 71, 2, 77, 0, 53, 4
rkrGstShingle3DiceMinMatchLength1, 0, no result, 2, 1, 12, no result, 15, 0, 8, no result
levenshteinNormalized, 0, 114, 5, 0, 11, 0, 26, 0, 13, 0
rkrGst5GramOverlapMinMatchLength2, 0, 724, 21, 4, 77, 2, 79, 0, 57, 4
jaccardNormalizedPadding5grams, 0, 28, 2, 2, 4, 0, 5, 0, 3, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 75, 6, 2, 15, no result, 18, 0, 10, 1
cosineNormalized3GramsBool, 0, 37, 7, 1, 6, 0, 9, 0, 4, 1
rkrGstShingle2DiceVariantMinMatchLength2, 0, 57, 2, 0, 10, no result, 9, 0, 6, 0
winnowingNormalized3GramOverlap, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
winnowingShingle2Overlap, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstShingle2OverlapMinMatchLength1, 0, 63, 2, 1, 10, no result, 9, 0, 6, 0
rkrGstTokenDiceVariantMinMatchLength3, 0, 42, 1, 0, 7, 0, 6, 0, 4, 0
rkrGst4GramDiceMinMatchLength1, 0, 734, 21, 5, 79, 2, 86, 0, 60, 4
rkrGstShingle3DiceMinMatchLength2, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 85, 4, 2, 14, no result, 18, 0, 9, no result
diceVariant5Grams, 0, 17, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignment5GramFingerprint, 0, 238, 14, 1, 30, 0, 56, 0, 28, 1
manhattanNormalized3Grams, 0, 28, 2, 1, 5, 1, 6, 0, 4, 1
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 72, 3, 1, 12, no result, 14, 0, 8, 0
cosineNormalizedTokensTermFrequency, 0, 10, 0, 0, 2, 0, 2, 0, 1, 0
rkrGstNormalized4GramDiceMinMatchLength1, 0, 591, 18, 4, 56, 2, 67, 0, 45, 4
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 86, 4, 1, 14, no result, 16, 0, 9, no result
winnowingShingle2Jaccard, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 557, 18, 4, 56, 1, 64, 0, 46, 4
rkrGst5GramDiceVariantMinMatchLength2, 0, 705, 21, 4, 80, 2, 84, 0, 62, 4
diceNormalized3Grams, 0, 19, 1, 0, 4, 0, 4, 0, 2, 0
cosineNormalizedShingle3TermFrequency, 0, 26, 2, 1, 5, no result, 6, 0, 3, no result
cosineNormalized4GramsNormalizedTermFrequency, 0, 35, 2, 1, 6, 0, 7, 0, 5, 1
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 544, 18, 5, 52, 1, 62, 0, 44, 3
winnowingNormalized4GramOverlap, 0, 22, 2, 1, 3, 0, 4, 0, 2, 0
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 86, 4, 1, 13, no result, 17, 0, 9, no result
jaccardNormalizedPadding3grams, 0, 22, 1, 1, 5, 0, 4, 0, 3, 0
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 538, 17, 3, 50, 1, 60, 0, 39, 3
winnowingNormalizedTokenOverlap, 0, 8, 0, 0, 1, 0, 2, 0, 1, 0
rkrGst5GramDiceVariantMinMatchLength1, 0, 761, 21, 5, 84, 2, 94, 0, 66, 5
cosineNormalizedShingle3NormalizedTermFrequency, 0, 27, 2, 1, 5, no result, 5, 0, 3, no result
winnowingTokenDice, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0
manhattanNormalizedShingles3, 0, 25, 1, 1, 5, no result, 5, 0, 3, no result
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 510, 17, 3, 54, 1, 59, 0, 41, 3
rkrGst4GramJaccardMinMatchLength3, 0, 724, 21, 5, 76, 2, 78, 0, 56, 4
winnowingNormalized5GramOverlap, 0, 30, 2, 1, 3, 0, 6, 0, 3, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 775, 22, 6, 83, 1, 72, 0, 54, 4
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 87, 4, 2, 13, no result, 18, 0, 12, 2
overlapNormalizedPadding2grams, 0, 21, 1, 1, 3, 0, 3, 0, 2, 0
rkrGstNormalized4GramDiceMinMatchLength2, 0, 607, 30, 6, 53, 2, 69, 0, 43, 3
winnowingNormalizedTokenDiceVariant, 0, 10, 0, 0, 2, 0, 1, 0, 1, 0
manhattanNormalized4Grams, 0, 37, 3, 1, 6, 0, 8, 0, 6, 1
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 2, 1, 13, no result, 11, 0, 8, no result
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 2, 1, 12, no result, 13, 0, 8, no result
rkrGst2GramOverlapMinMatchLength2, 0, 687, 25, 6, 71, 2, 67, 0, 58, 5
jaccardNormalized5Grams, 0, 33, 2, 1, 5, 0, 5, 0, 3, 0
longestCommonSubsequence4GramFingerprint, 0, 19, 1, 0, 3, 0, 5, 0, 4, 0
optimalAlignmentShingle2Fingerprint, 0, 18, 1, 1, 3, no result, 2, 0, 2, 0
cosineNormalizedShingle2Bool, 0, 24, 2, 1, 5, no result, 6, 0, 4, 0
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 53, 1, 0, 9, 0, 7, 0, 9, 0
cosineNormalized5GramsNormalizedTermFrequency, 0, 57, 3, 1, 6, 0, 7, 0, 5, 1
rkrGstTokenDiceVariantMinMatchLength1, 0, 49, 1, 0, 8, 0, 7, 0, 5, 0
rkrGst4GramDiceVariantMinMatchLength1, 0, 788, 24, 5, 80, 3, 89, 0, 58, 5
rkrGst3GramDiceVariantMinMatchLength2, 0, 697, 20, 5, 69, 2, 74, 0, 52, 4
diceVariantTokens, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle3Dice, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
rkrGst2GramDiceMinMatchLength3, 0, 621, 19, 4, 66, 1, 69, 0, 52, 3
rkrGstNormalized3GramDiceMinMatchLength2, 0, 571, 20, 4, 51, 1, 66, 0, 44, 3
winnowing4GramDice, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
winnowing2GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 3, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 528, 17, 4, 52, 1, 62, 0, 43, 3
jaccard5Grams, 0, 21, 2, 1, 4, 0, 5, 0, 4, 0
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 577, 20, 3, 57, 1, 66, 0, 46, 5
cosineNormalized2GramsTermFrequency, 0, 24, 2, 1, 4, 0, 5, 0, 3, 0
winnowingShingle2DiceVariant, 0, 12, 0, 0, 2, no result, 2, 0, 3, 0
damerauLevenshteinStandard, 0, 571, 33, 2, 74, 1, 224, 0, 64, 3
winnowing4GramOverlap, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalizedShingle3Dice, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
rkrGst5GramOverlapMinMatchLength1, 0, 787, 21, 5, 83, 3, 85, 0, 61, 4
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 87, 6, 1, 14, no result, 16, 0, 10, no result
diceVariantNormalized2Grams, 0, 17, 1, 0, 3, 0, 3, 0, 5, 0
rkrGstShingle2DiceMinMatchLength1, 0, 61, 2, 1, 10, no result, 12, 0, 8, 0
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 94, 4, 2, 14, no result, 15, 0, 9, 1
rkrGstShingle3DiceVariantMinMatchLength3, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
winnowingNormalized3GramDiceVariant, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst3GramDiceMinMatchLength3, 0, 657, 19, 4, 69, 2, 76, 0, 51, 4
cosineNormalizedShingle2NormalizedTermFrequency, 0, 43, 1, 1, 4, no result, 5, 0, 4, 0
rkrGst5GramDiceVariantMinMatchLength3, 0, 717, 21, 4, 76, 2, 80, 0, 56, 4
cosineNormalized4GramsBool, 0, 34, 2, 1, 5, 0, 6, 0, 5, 1
manhattanNormalized2Grams, 0, 22, 2, 1, 4, 0, 4, 0, 4, 0
cosineNormalized5GramsTermFrequency, 0, 35, 2, 1, 6, 0, 7, 0, 5, 1
overlapNormalizedShingles2, 0, 20, 1, 1, 4, no result, 4, 0, 3, 0
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 588, 18, 4, 55, 1, 68, 0, 61, 4
rkrGst2GramJaccardMinMatchLength2, 0, 649, 20, 4, 71, 2, 68, 0, 50, 4
manhattanNormalized5Grams, 0, 36, 2, 1, 6, 0, 6, 0, 5, 1
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 48, 1, 0, 8, 0, 6, 0, 5, 0
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 90, 4, 1, 15, no result, 20, 0, 10, no result
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 82, 4, 1, 13, no result, 15, 0, 8, 1
diceNormalizedPadding5grams, 0, 21, 1, 1, 5, 0, 6, 0, 3, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 69, 2, 1, 11, 0, 7, 0, 6, 0
rkrGst4GramDiceVariantMinMatchLength3, 0, 700, 23, 5, 71, 2, 106, 0, 55, 4
winnowingNormalized3GramJaccard, 0, 20, 1, 1, 3, 0, 4, 0, 2, 0
diceVariantNormalizedTokens, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 58, 1, 0, 9, 0, 6, 0, 5, 0
overlapNormalized2Grams, 0, 17, 1, 1, 3, 0, 3, 0, 2, 0
winnowingNormalizedShingle2DiceVariant, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst3GramDiceMinMatchLength2, 0, 685, 19, 4, 71, 1, 72, 0, 57, 4
diceNormalizedPadding2grams, 0, 18, 1, 1, 3, 0, 3, 0, 2, 0
diceNormalizedShingles3, 0, 22, 1, 1, 4, no result, 5, 0, 3, no result
diceVariantNormalizedPadding3grams, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
rkrGstNormalized4GramDiceMinMatchLength3, 0, 543, 18, 4, 50, 1, 64, 0, 41, 3
cosineNormalized2GramsNormalizedTermFrequency, 0, 26, 2, 1, 4, 0, 4, 0, 3, 0
longestCommonSubsequence2GramFingerprint, 0, 42, 2, 0, 7, 1, 12, 0, 6, 1
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 587, 18, 4, 53, 2, 65, 0, 45, 3
optimalAlignment3GramFingerprint, 0, 244, 14, 1, 32, 0, 57, 0, 34, 2
jaccardTokens, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 60, 2, 0, 11, 0, 6, 0, 4, 0
cosineNormalized3GramsNormalizedTermFrequency, 0, 30, 2, 1, 7, 0, 6, 0, 6, 1
jaccardShingles3, 0, no result, 1, 0, 3, no result, 3, 0, 2, no result
longestCommonSubsequenceShingle2Fingerprint, 0, 12, 0, 0, 3, no result, 2, 0, 2, 0
overlapNormalizedPadding4grams, 0, 26, 2, 1, 4, 0, 5, 0, 3, 0
winnowingTokenDiceVariant, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 110, 5, 2, 15, no result, 20, 0, 14, no result
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 649, 18, 4, 70, 2, 64, 0, 50, 4
rkrGstShingle3DiceMinMatchLength3, 0, no result, 2, 1, 14, no result, 13, 0, 9, no result
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 615, 21, 5, 53, 2, 65, 0, 44, 3
winnowingNormalizedTokenJaccard, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
overlapNormalizedShingles3, 0, 27, 1, 1, 4, no result, 4, 0, 3, no result
rkrGstShingle2DiceMinMatchLength3, 0, 59, 2, 1, 10, no result, 10, 0, 6, 0
winnowingNormalized2GramOverlap, 0, 18, 1, 0, 3, 0, 3, 0, 3, 0
rkrGst5GramDiceMinMatchLength3, 0, 724, 20, 4, 86, 3, 79, 0, 56, 4
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 494, 18, 3, 46, 1, 59, 0, 39, 3
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 509, 16, 3, 72, 1, 61, 0, 43, 3
winnowingNormalized5GramDice, 0, 19, 1, 1, 7, 0, 4, 0, 2, 0
diceVariantShingles3, 0, no result, 0, 0, 3, no result, 2, 0, 2, no result
winnowingNormalized4GramDiceVariant, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 540, 18, 4, 52, 4, 62, 0, 42, 4
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 83, 3, 1, 13, no result, 15, 0, 8, 0
winnowingNormalizedShingle2Dice, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 49, 1, 0, 8, 0, 6, 0, 5, 0
rkrGstNormalized2GramDiceMinMatchLength2, 0, 509, 16, 4, 47, 1, 58, 0, 38, 3
rkrGstNormalizedShingle3DiceMinMatchLength3, 0, 83, 4, 1, 14, no result, 17, 0, 10, no result
rkrGst4GramOverlapMinMatchLength1, 0, 780, 22, 5, 77, 2, 82, 0, 56, 4
jaccard2Grams, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 637, 18, 4, 60, 1, 70, 0, 50, 4
overlap5Grams, 0, 17, 1, 0, 2, 0, 3, 0, 2, 0
winnowing3GramDiceVariant, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalizedTokensBool, 0, 10, 0, 0, 2, 0, 2, 0, 1, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 509, 17, 4, 54, 1, 78, 0, 68, 5
overlapNormalizedPadding3grams, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
