similarity (false positives) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst3GramJaccardMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
winnowing5GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignment4GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalizedPadding5grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle2Jaccard, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalized5Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized5GramsBool, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
cosineNormalized2GramsTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2JaccardMinMatchLength1, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst2GramDiceMinMatchLength3, 0, 0, 0, 8, 1, 2, 0, 0, 0, 3
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized4GramsTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2JaccardMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst4GramJaccardMinMatchLength2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowing4GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequenceNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
diceVariantNormalizedShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
winnowing4GramDiceVariant, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariant2Grams, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
jaccard5Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceMinMatchLength1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
rkrGstShingle3JaccardMinMatchLength2, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGst5GramDiceMinMatchLength2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
overlapNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
rkrGst5GramOverlapMinMatchLength3, 0, 0, 0, 8, 1, 6, 0, 0, 0, 3
rkrGstTokenDiceVariantMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2OverlapMinMatchLength1, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstTokenDiceVariantMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
longestCommonSubsequence2GramFingerprintNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
winnowingNormalizedShingle2Overlap, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstShingle2OverlapMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength1, 0, 0, 0, 8, 1, 2, 0, 0, 0, 0
jaccard2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccard3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength2, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
winnowingShingle3DiceVariant, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
winnowing3GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignment4GramFingerprintNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceShingles3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
winnowingShingle2DiceVariant, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalizedShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst5GramOverlapMinMatchLength2, 0, 0, 0, 8, 1, 6, 0, 0, 0, 1
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
optimalAlignmentShingle2Fingerprint, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
dice5Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalizedPadding5grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
winnowingNormalized5GramOverlap, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized3GramsBool, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlap4Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalized3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst2GramOverlapMinMatchLength1, 0, 10, 0, 8, 0, 1, 0, 0, 0, 1
jaccardNormalizedPadding2grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantShingles3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
optimalAlignment3GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 6, 0, 8, 1, 0, 0, 0, 0, 1
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
winnowingTokenOverlap, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
winnowingNormalized5GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levenshteinNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalized4Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized4GramsBool, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramDiceVariantMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst2GramDiceMinMatchLength2, 0, 0, 0, 8, 1, 2, 0, 0, 0, 3
winnowingNormalizedShingle2Dice, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalized3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized4GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenJaccardMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalizedShingles3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
longestCommonSubsequence4GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst4GramOverlapMinMatchLength3, 0, 0, 0, 8, 1, 2, 0, 0, 0, 3
diceVariant4Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
rkrGstNormalized5GramJaccardMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenDiceMinMatchLength1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalizedPadding4grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalizedPadding5grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
diceVariant3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowing5GramDice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
manhattanNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength2, 0, 0, 0, 2, 0, no result, 0, 0, 0, 0
optimalAlignment2GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalized4GramDiceMinMatchLength1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
overlap2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle2Dice, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
winnowingShingle3Overlap, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
