average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstTokenOverlapMinMatchLength1, 0.0, 48.0, 1.0, 0.0, 8.0, 0.0, 7.0, 0.0, 4.0, 0.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0.0, 80.0, 3.0, 1.0, 13.0, no result, 15.0, 0.0, 8.0, 1.0
longestCommonSubsequenceNormalized, 0.0, 181.0, 10.0, 1.0, 25.0, 0.0, 41.0, 0.0, 21.0, 1.0
winnowingTokenDiceVariant, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 540.0, 17.0, 4.0, 54.0, 1.0, 63.0, 0.0, 50.0, 4.0
optimalAlignment2GramFingerprintNormalized, 0.0, 187.0, 12.0, 1.0, 22.0, 0.0, 45.0, 0.0, 22.0, 1.0
longestCommonSubsequence3GramFingerprintNormalized, 0.0, 75.0, 5.0, 0.0, 9.0, 0.0, 18.0, 0.0, 9.0, 0.0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0.0, 76.0, 3.0, 1.0, 12.0, no result, 15.0, 0.0, 8.0, 1.0
winnowingShingle3Jaccard, 0.0, no result, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 2.0, no result
rkrGst2GramOverlapMinMatchLength3, 0.0, 603.0, 20.0, 4.0, 65.0, 2.0, 67.0, 0.0, 49.0, 3.0
cosineNormalizedTokensBool, 0.0, 10.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0
rkrGstTokenDiceVariantMinMatchLength1, 0.0, 49.0, 1.0, 0.0, 8.0, 0.0, 7.0, 0.0, 5.0, 0.0
diceVariantNormalizedPadding2grams, 0.0, 17.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 1.0
rkrGstShingle3JaccardMinMatchLength2, 0.0, no result, 2.0, 1.0, 14.0, no result, 12.0, 0.0, 8.0, no result
rkrGst2GramJaccardMinMatchLength1, 0.0, 652.0, 21.0, 5.0, 72.0, 2.0, 73.0, 0.0, 52.0, 4.0
rkrGstNormalized3GramDiceMinMatchLength1, 0.0, 552.0, 17.0, 4.0, 59.0, 1.0, 64.0, 0.0, 44.0, 3.0
rkrGstNormalizedShingle3DiceMinMatchLength3, 0.0, 82.0, 4.0, 1.0, 14.0, no result, 19.0, 0.0, 13.0, no result
optimalAlignment2GramFingerprint, 0.0, 264.0, 15.0, 1.0, 31.0, 0.0, 91.0, 0.0, 72.0, 1.0
rkrGstNormalized5GramOverlapMinMatchLength2, 0.0, 614.0, 18.0, 3.0, 60.0, 1.0, 71.0, 0.0, 49.0, 4.0
rkrGstNormalized2GramJaccardMinMatchLength2, 0.0, 520.0, 17.0, 4.0, 50.0, 1.0, 58.0, 0.0, 39.0, 3.0
winnowingNormalized2GramDice, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
winnowing3GramJaccard, 0.0, 16.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
jaccardNormalized5Grams, 0.0, 27.0, 2.0, 1.0, 5.0, 0.0, 6.0, 0.0, 4.0, 1.0
jaccardNormalizedShingles2, 0.0, 23.0, 1.0, 1.0, 4.0, no result, 4.0, 0.0, 3.0, 0.0
winnowing4GramDiceVariant, 0.0, 15.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
winnowing2GramJaccard, 0.0, 15.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0.0, 79.0, 3.0, 1.0, 13.0, no result, 15.0, 0.0, 8.0, 0.0
winnowingShingle2Jaccard, 0.0, 11.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
diceVariant4Grams, 0.0, 17.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
manhattanNormalized5Grams, 0.0, 36.0, 2.0, 1.0, 6.0, 0.0, 7.0, 0.0, 4.0, 1.0
rkrGst5GramOverlapMinMatchLength3, 0.0, 717.0, 21.0, 4.0, 75.0, 2.0, 99.0, 0.0, 61.0, 4.0
rkrGstShingle2JaccardMinMatchLength1, 0.0, 80.0, 2.0, 1.0, 10.0, no result, 10.0, 0.0, 7.0, 0.0
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0.0, 60.0, 2.0, 1.0, 10.0, 0.0, 6.0, 0.0, 4.0, 0.0
diceVariantTokens, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
rkrGstShingle3DiceVariantMinMatchLength3, 0.0, no result, 3.0, 1.0, 12.0, no result, 11.0, 0.0, 7.0, no result
diceTokens, 0.0, 5.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
longestCommonSubsequenceShingle3Fingerprint, 0.0, no result, 1.0, 0.0, 4.0, no result, 2.0, 0.0, 2.0, no result
rkrGstShingle3DiceVariantMinMatchLength2, 0.0, no result, 2.0, 1.0, 12.0, no result, 12.0, 0.0, 13.0, no result
winnowingShingle2Overlap, 0.0, 17.0, 1.0, 0.0, 3.0, no result, 2.0, 0.0, 2.0, 0.0
cosineNormalizedShingle3NormalizedTermFrequency, 0.0, 29.0, 2.0, 1.0, 5.0, no result, 5.0, 0.0, 3.0, no result
optimalAlignment5GramFingerprint, 0.0, 273.0, 18.0, 1.0, 36.0, 0.0, 71.0, 0.0, 33.0, 1.0
