similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized4GramDiceMinMatchLength2, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
cosineNormalizedShingle3Bool, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
winnowingShingle2Overlap, 0, 10, 0, 2, 0, no result, 2, 0, 0, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 2, 0, 0, 1, no result, 1, 0, 0, 0
damerauLevenshteinStandard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
overlapNormalized4Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength2, 0, 0, 0, 9, 7, 10, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 1, 7, 0, no result, 1, 0, 0, no result
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 2, 0, 6, 0, 2, 1, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength1, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
jaccardShingles3, 0, no result, 2, 2, 1, no result, 3, 0, 0, no result
rkrGst5GramOverlapMinMatchLength2, 0, 0, 0, 10, 6, 4, 0, 0, 0, 9
cosineNormalized3GramsBool, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalizedTokenOverlap, 0, 3, 0, 2, 0, 0, 1, 0, 0, 0
jaccardTokens, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
overlapNormalizedPadding2grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
cosineNormalizedShingle3NormalizedTermFrequency, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
winnowingNormalizedShingle2DiceVariant, 0, 0, 0, 1, 0, no result, 0, 0, 0, 0
rkrGst2GramDiceMinMatchLength3, 0, 1, 0, 9, 7, 10, 0, 0, 0, 3
cosineNormalized3GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingNormalized5GramJaccard, 0, 6, 2, 0, 0, 4, 4, 0, 3, 0
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 1, 0, 6, 6, 2, 0, 0, 0, 3
winnowingNormalized2GramDice, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
winnowing4GramJaccard, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0
jaccard2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength3, 0, 10, 1, 7, 0, no result, 0, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
jaccardNormalizedShingles3, 0, 2, 0, 1, 0, no result, 1, 0, 0, no result
overlapNormalizedPadding4grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst3GramDiceMinMatchLength2, 0, 0, 0, 9, 7, 9, 0, 0, 0, 1
rkrGst3GramOverlapMinMatchLength1, 0, 7, 0, 10, 7, 10, 0, 0, 0, 9
longestCommonSubsequence2GramFingerprintNormalized, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength1, 0, 2, 0, 2, 5, 0, 0, 0, 0, 9
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 0, 0, 9, 6, 1, 0, 0, 0, 8
winnowingNormalized4GramJaccard, 0, 6, 2, 0, 0, 4, 4, 0, 3, 0
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 1, 0, 2, 0, no result, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 1, 0, 1, 6, 2, 0, 0, 0, 0
overlapNormalizedShingles2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst2GramDiceMinMatchLength2, 0, 1, 0, 9, 7, 10, 0, 0, 0, 3
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
jaccardNormalized3Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst5GramOverlapMinMatchLength3, 0, 0, 0, 10, 6, 4, 0, 0, 0, 8
damerauLevenshteinNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapTokens, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
rkrGstNormalized2GramDiceMinMatchLength2, 0, 0, 0, 1, 6, 0, 0, 0, 0, 2
winnowing3GramOverlap, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength3, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
rkrGstTokenJaccardMinMatchLength2, 0, 2, 0, 6, 0, 2, 1, 0, 0, 0
optimalAlignmentShingle3FingerprintNormalized, 0, 2, 0, 0, 1, no result, 1, 0, 0, no result
diceNormalizedPadding2grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength2, 0, no result, 1, 1, 0, no result, 1, 0, 0, no result
cosineNormalized4GramsBool, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 0, 0, 0, 0, 8
cosineNormalized5GramsTermFrequency, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst2GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
winnowing5GramDiceVariant, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
winnowingShingle3Overlap, 0, no result, 1, 1, 1, no result, 3, 0, 0, no result
winnowingNormalized5GramDiceVariant, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
