max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle3DiceMinMatchLength2, 0, no result, 2, 0, 12, no result, 10, 0, 7, no result
levenshteinNormalized, 0, 103, 6, 0, 12, 0, 25, 0, 11, 0
jaccard3Grams, 0, 15, 1, 0, 2, 0, 3, 0, 4, 0
diceVariantNormalized2Grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
winnowing2GramDiceVariant, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalized5GramDice, 0, 19, 1, 0, 3, 0, 4, 0, 3, 1
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 101, 4, 1, 15, no result, 16, 0, 9, 1
rkrGst2GramOverlapMinMatchLength1, 0, 656, 20, 5, 72, 2, 75, 0, 56, 4
rkrGst4GramDiceMinMatchLength1, 0, 781, 22, 5, 78, 2, 88, 0, 59, 4
rkrGst3GramDiceMinMatchLength3, 0, 671, 21, 4, 76, 2, 71, 0, 51, 4
manhattanNormalized5Grams, 0, 35, 2, 1, 6, 0, 7, 0, 5, 1
diceVariant5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalizedShingle3Overlap, 0, 24, 1, 1, 4, no result, 4, 0, 3, no result
overlapNormalized5Grams, 0, 22, 1, 0, 4, 0, 4, 0, 3, 0
diceNormalizedPadding4grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 79, 4, 1, 15, no result, 15, 0, 9, 1
winnowing5GramJaccard, 0, 17, 1, 0, 3, 0, 3, 0, 2, 0
rkrGst5GramOverlapMinMatchLength2, 0, 786, 22, 5, 85, 2, 88, 0, 61, 4
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 91, 4, 2, 16, no result, 18, 0, 10, 1
rkrGst3GramJaccardMinMatchLength1, 0, 762, 24, 6, 82, 2, 86, 0, 66, 4
manhattanNormalizedShingles2, 0, 24, 1, 1, 4, no result, 5, 0, 3, 0
rkrGst3GramOverlapMinMatchLength1, 0, 784, 22, 5, 80, 2, 82, 0, 56, 4
rkrGstNormalized3GramDiceMinMatchLength1, 0, 590, 19, 4, 60, 2, 69, 0, 48, 4
rkrGst3GramJaccardMinMatchLength2, 0, 705, 22, 5, 75, 2, 77, 0, 55, 4
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 600, 20, 4, 64, 1, 70, 0, 51, 4
rkrGst3GramDiceMinMatchLength2, 0, 720, 21, 5, 80, 2, 75, 0, 55, 4
rkrGst3GramOverlapMinMatchLength2, 0, 694, 21, 5, 75, 2, 75, 0, 55, 4
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 2, 1, 13, no result, 11, 0, 7, no result
winnowingShingle2Overlap, 0, 10, 0, 0, 2, no result, 2, 0, 1, 0
cosineNormalized3GramsTermFrequency, 0, 30, 2, 1, 5, 0, 6, 0, 4, 1
overlap4Grams, 0, 15, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst5GramDiceVariantMinMatchLength3, 0, 778, 21, 5, 88, 2, 87, 0, 61, 5
overlapNormalizedTokens, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
jaccardNormalizedPadding4grams, 0, 26, 2, 1, 4, 0, 5, 0, 4, 0
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 536, 18, 4, 54, 1, 62, 0, 42, 3
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 85, 4, 1, 14, no result, 16, 0, 10, 1
jaccard2Grams, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGst4GramJaccardMinMatchLength3, 0, 807, 29, 7, 79, 2, 83, 0, 58, 4
diceVariantNormalized4Grams, 0, 21, 1, 1, 3, 0, 4, 0, 3, 0
damerauLevenshteinNormalized, 0, 574, 34, 2, 76, 1, 154, 0, 70, 3
diceVariantNormalizedPadding4grams, 0, 23, 1, 1, 3, 0, 4, 0, 4, 0
rkrGstNormalized3GramDiceMinMatchLength3, 0, 562, 18, 4, 52, 1, 64, 0, 44, 3
jaccardNormalized4Grams, 0, 24, 2, 1, 4, 0, 5, 0, 3, 0
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 626, 20, 4, 56, 2, 69, 0, 48, 4
winnowingNormalizedTokenDiceVariant, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 578, 19, 4, 58, 2, 69, 0, 49, 4
winnowing2GramDice, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 560, 18, 4, 54, 1, 65, 0, 46, 3
cosineNormalizedShingle2NormalizedTermFrequency, 0, 25, 2, 1, 4, no result, 6, 0, 3, 0
overlap2Grams, 0, 11, 1, 0, 2, 0, 2, 0, 1, 0
winnowing3GramOverlap, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
dice5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalized5GramsTermFrequency, 0, 43, 3, 2, 7, 0, 8, 0, 6, 1
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 24, 1, 1, 4, no result, 5, 0, 3, no result
winnowing4GramJaccard, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 620, 20, 4, 61, 2, 71, 0, 49, 4
winnowing4GramDiceVariant, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGst5GramOverlapMinMatchLength3, 0, 789, 21, 5, 84, 2, 88, 0, 71, 5
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 576, 19, 4, 55, 1, 66, 0, 45, 4
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 622, 20, 5, 60, 2, 72, 0, 49, 4
overlap3Grams, 0, 13, 1, 0, 2, 0, 2, 0, 2, 0
jaccardNormalized5Grams, 0, 22, 1, 1, 3, 0, 5, 0, 3, 0
winnowingShingle3Dice, 0, no result, 0, 0, 2, no result, 2, 0, 1, no result
rkrGstNormalized5GramDiceMinMatchLength2, 0, 565, 20, 4, 56, 1, 63, 0, 48, 4
winnowingNormalizedTokenOverlap, 0, 7, 0, 0, 1, 0, 1, 0, 1, 0
winnowing2GramJaccard, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
overlapShingles3, 0, no result, 0, 0, 2, no result, 2, 0, 1, no result
rkrGst3GramDiceVariantMinMatchLength1, 0, 707, 20, 5, 78, 2, 79, 0, 56, 4
longestCommonSubsequence3GramFingerprintNormalized, 0, 75, 5, 0, 9, 0, 18, 0, 9, 0
rkrGstTokenOverlapMinMatchLength2, 0, 42, 1, 0, 7, 0, 6, 0, 6, 0
rkrGst4GramDiceVariantMinMatchLength2, 0, 781, 21, 5, 86, 2, 76, 0, 54, 4
rkrGst2GramDiceVariantMinMatchLength1, 0, 677, 22, 6, 71, 2, 73, 0, 53, 4
rkrGst2GramOverlapMinMatchLength2, 0, 648, 22, 5, 67, 1, 68, 0, 50, 3
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 514, 16, 4, 50, 1, 57, 0, 39, 3
manhattanNormalized4Grams, 0, 32, 2, 1, 5, 0, 6, 0, 5, 0
winnowing5GramDiceVariant, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 88, 4, 1, 14, no result, 18, 0, 10, no result
rkrGstShingle3DiceMinMatchLength3, 0, no result, 2, 0, 13, no result, 10, 0, 7, no result
longestCommonSubsequence3GramFingerprint, 0, 25, 1, 0, 3, 0, 5, 0, 3, 0
rkrGst3GramOverlapMinMatchLength3, 0, 681, 20, 4, 70, 2, 70, 0, 51, 4
diceNormalizedPadding2grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized2GramDiceMinMatchLength2, 0, 492, 16, 3, 48, 1, 55, 0, 38, 3
