total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst4GramOverlapMinMatchLength1,0,744,21,6,80,2,80,0,56,4
rkrGst4GramOverlapMinMatchLength2,0,720,21,4,73,2,76,0,57,4
rkrGst4GramOverlapMinMatchLength3,0,844,22,5,87,2,78,0,55,4
rkrGst5GramDiceMinMatchLength1,0,828,22,6,112,2,85,0,60,6
rkrGst5GramDiceMinMatchLength2,0,737,20,4,78,2,81,0,58,4
rkrGst5GramDiceMinMatchLength3,0,724,20,4,82,2,78,0,56,4
rkrGst5GramDiceVariantMinMatchLength1,0,778,21,5,84,2,87,0,63,5
rkrGst5GramDiceVariantMinMatchLength2,0,737,23,4,81,2,84,0,60,5
rkrGst5GramDiceVariantMinMatchLength3,0,1024,22,10,101,2,81,0,60,5
rkrGst5GramJaccardMinMatchLength1,0,781,21,5,90,2,85,0,63,5
rkrGst5GramJaccardMinMatchLength2,0,758,22,5,79,2,80,0,64,5
rkrGst5GramJaccardMinMatchLength3,0,792,20,5,81,2,83,0,60,4
rkrGst5GramOverlapMinMatchLength1,0,791,21,5,86,2,87,0,61,5
rkrGst5GramOverlapMinMatchLength2,0,737,22,4,76,2,82,0,58,4
rkrGst5GramOverlapMinMatchLength3,0,750,22,4,78,2,82,0,58,4
rkrGstNormalized2GramDiceMinMatchLength1,0,515,17,4,50,1,58,0,39,3
rkrGstNormalized2GramDiceMinMatchLength2,0,497,20,4,49,1,57,0,38,3
rkrGstNormalized2GramDiceMinMatchLength3,0,511,17,4,58,2,60,0,38,3
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,536,18,5,54,1,61,0,40,4
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,492,16,4,51,1,57,0,39,3
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,490,16,4,48,1,58,0,40,3
rkrGstNormalized2GramJaccardMinMatchLength1,0,551,17,4,64,2,73,0,51,4
rkrGstNormalized2GramJaccardMinMatchLength2,0,529,17,4,50,1,57,0,40,3
rkrGstNormalized2GramJaccardMinMatchLength3,0,532,19,4,53,1,59,0,39,3
rkrGstNormalized2GramOverlapMinMatchLength1,0,525,17,4,53,2,61,0,40,3
rkrGstNormalized2GramOverlapMinMatchLength2,0,538,19,6,61,1,59,0,38,3
rkrGstNormalized2GramOverlapMinMatchLength3,0,638,38,4,69,2,82,0,47,5
rkrGstNormalized3GramDiceMinMatchLength1,0,540,19,4,53,1,69,0,45,3
rkrGstNormalized3GramDiceMinMatchLength2,0,527,17,3,51,1,61,0,41,3
rkrGstNormalized3GramDiceMinMatchLength3,0,521,17,3,50,1,61,0,40,3
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,591,25,7,57,1,68,0,47,4
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,608,28,11,54,2,65,0,41,5
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,615,22,4,62,2,76,0,51,4
rkrGstNormalized3GramJaccardMinMatchLength1,0,553,18,4,56,2,67,0,45,4
rkrGstNormalized3GramJaccardMinMatchLength2,0,529,17,4,51,1,60,0,47,3
