max time for a PostVersionList measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 4, 0, 24, 25, no result, 0, 0, 1, 12
winnowingShingle2DiceVariant, 0, 2, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalizedShingle3DiceMinMatchLength3, 0, 4, 0, 27, 27, no result, 0, 0, 1, no result
longestCommonSubsequenceShingle2Fingerprint, 0, 1, 0, 7, 5, no result, 0, 0, 0, 3
rkrGstShingle2JaccardMinMatchLength2, 0, 3, 1, 29, 20, no result, 0, 0, 1, 9
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 24, 3, 185, 358, 39, 2, 1, 4, 129
jaccardNormalized5Grams, 0, 5, 0, 12, 9, 4, 0, 0, 1, 6
rkrGstShingle2DiceVariantMinMatchLength3, 0, 3, 0, 26, 20, no result, 0, 0, 2, 10
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 26, 2, 165, 381, 39, 2, 1, 5, 133
rkrGstNormalized3GramDiceMinMatchLength2, 0, 22, 3, 135, 334, 36, 2, 1, 4, 153
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 23, 2, 153, 379, 35, 2, 1, 5, 126
winnowing5GramJaccard, 0, 2, 0, 10, 8, 4, 0, 0, 0, 4
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 24, 3, 131, 328, 34, 2, 2, 4, 144
rkrGst5GramJaccardMinMatchLength3, 0, 38, 6, 402, 3257, 134, 4, 3, 10, 304
manhattanNormalizedShingles3, 0, 3, 0, 11, 8, no result, 0, 0, 0, no result
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 26, 2, 142, 330, 33, 2, 1, 4, 144
overlapShingles3, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
optimalAlignment2GramFingerprintNormalized, 0, 10, 1, 93, 273, 18, 1, 0, 5, 79
rkrGstNormalized4GramDiceMinMatchLength1, 0, 26, 2, 153, 356, 38, 2, 1, 4, 128
winnowingTokenOverlap, 0, 2, 0, 3, 2, 1, 0, 0, 0, 1
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 28, 3, 173, 358, 37, 2, 1, 4, 128
winnowing3GramDice, 0, 2, 0, 9, 9, 3, 0, 0, 0, 4
overlap2Grams, 0, 2, 0, 7, 5, 2, 0, 0, 0, 3
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 28, 2, 158, 365, 39, 3, 1, 5, 144
rkrGst4GramOverlapMinMatchLength3, 0, 36, 5, 386, 3392, 143, 4, 3, 10, 284
winnowingNormalizedShingle2Dice, 0, 3, 0, 14, 8, no result, 0, 0, 1, 4
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 22, 2, 137, 340, 33, 2, 1, 4, 153
rkrGst4GramDiceMinMatchLength3, 0, 35, 5, 356, 3002, 139, 4, 3, 9, 306
winnowingNormalized3GramDiceVariant, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
diceNormalizedShingles2, 0, 3, 0, 9, 7, no result, 0, 0, 0, 4
winnowingNormalized3GramJaccard, 0, 3, 0, 10, 9, 3, 0, 0, 0, 5
winnowingNormalized2GramDice, 0, 3, 0, 9, 8, 3, 0, 0, 0, 5
rkrGst3GramJaccardMinMatchLength2, 0, 35, 5, 310, 2269, 172, 4, 3, 9, 273
diceVariantShingles3, 0, no result, 0, 7, 5, no result, 0, 0, 0, no result
rkrGstNormalized5GramOverlapMinMatchLength2, 0, 25, 2, 158, 374, 37, 2, 1, 4, 133
rkrGst3GramOverlapMinMatchLength2, 0, 33, 5, 304, 2310, 151, 3, 3, 8, 281
optimalAlignment4GramFingerprintNormalized, 0, 10, 1, 91, 327, 20, 2, 0, 5, 86
winnowing2GramOverlap, 0, 3, 0, 10, 9, 3, 0, 0, 0, 4
winnowing2GramDice, 0, 2, 0, 11, 9, 3, 0, 0, 0, 4
diceVariantNormalized3Grams, 0, 3, 0, 10, 9, 4, 0, 0, 0, 5
rkrGst5GramDiceVariantMinMatchLength3, 0, 43, 7, 477, 3248, 134, 4, 4, 9, 309
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 5, 0, 30, 30, no result, 0, 0, 1, no result
winnowingNormalizedTokenJaccard, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
winnowingNormalized5GramDiceVariant, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstTokenJaccardMinMatchLength3, 0, 2, 0, 18, 13, 6, 0, 0, 0, 7
winnowing5GramOverlap, 0, 2, 0, 9, 10, 3, 0, 0, 0, 5
cosineNormalizedShingle2NormalizedTermFrequency, 0, 5, 0, 10, 8, no result, 0, 0, 0, 6
overlapNormalized4Grams, 0, 3, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstNormalizedShingle3JaccardMinMatchLength3, 0, 4, 0, 28, 28, no result, 0, 0, 1, no result
rkrGst3GramDiceVariantMinMatchLength1, 0, 39, 6, 361, 2254, 150, 3, 3, 8, 278
rkrGst3GramDiceMinMatchLength1, 0, 38, 5, 306, 2328, 151, 4, 3, 9, 269
jaccardNormalized3Grams, 0, 4, 0, 10, 8, 3, 0, 0, 0, 4
diceVariant3Grams, 0, 2, 0, 7, 6, 2, 0, 0, 0, 4
rkrGstNormalized3GramDiceMinMatchLength3, 0, 23, 2, 132, 341, 33, 2, 1, 4, 153
winnowingNormalized5GramOverlap, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
diceVariantNormalized4Grams, 0, 3, 0, 9, 8, 3, 0, 0, 0, 4
rkrGst5GramDiceMinMatchLength3, 0, 36, 7, 441, 3165, 133, 4, 3, 9, 296
rkrGstTokenDiceVariantMinMatchLength2, 0, 2, 0, 17, 12, 7, 0, 0, 0, 6
jaccardTokens, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
rkrGst2GramJaccardMinMatchLength3, 0, 34, 5, 317, 1142, 159, 3, 3, 9, 246
diceVariantNormalizedTokens, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
dice3Grams, 0, 3, 0, 7, 6, 2, 0, 0, 0, 3
rkrGst5GramDiceMinMatchLength2, 0, 39, 6, 402, 3236, 131, 4, 3, 9, 299
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 27, 2, 165, 380, 39, 2, 1, 4, 137
winnowing4GramDiceVariant, 0, 2, 0, 9, 9, 5, 0, 0, 0, 4
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 25, 2, 157, 383, 45, 2, 1, 4, 130
cosineNormalizedShingle3Bool, 0, 3, 0, 11, 8, no result, 0, 0, 1, no result
cosineNormalized2GramsBool, 0, 5, 0, 12, 7, 4, 0, 0, 1, 5
rkrGstTokenOverlapMinMatchLength3, 0, 2, 0, 16, 12, 6, 0, 0, 0, 6
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 25, 2, 147, 349, 41, 2, 1, 4, 156
winnowingNormalized4GramDiceVariant, 0, 3, 0, 11, 9, 3, 0, 0, 0, 6
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 30, 25, no result, 0, 0, 1, no result
rkrGst4GramOverlapMinMatchLength2, 0, 34, 5, 364, 3043, 139, 4, 3, 9, 339
rkrGstNormalized5GramDiceMinMatchLength3, 0, 23, 3, 183, 429, 37, 2, 1, 4, 167
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 24, 2, 151, 393, 36, 2, 1, 4, 189
cosineNormalized5GramsBool, 0, 5, 0, 16, 12, 5, 0, 0, 1, 9
jaccard5Grams, 0, 4, 0, 14, 9, 4, 0, 0, 0, 5
optimalAlignmentShingle2FingerprintNormalized, 0, 3, 0, 14, 13, no result, 0, 0, 1, 6
diceNormalizedPadding4grams, 0, 3, 0, 10, 8, 4, 0, 0, 0, 4
winnowing4GramDice, 0, 2, 0, 12, 11, 4, 0, 0, 0, 5
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 2, 0, 17, 14, 8, 0, 0, 1, 8
rkrGst2GramOverlapMinMatchLength2, 0, 35, 5, 273, 1149, 165, 3, 4, 7, 248
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 27, 2, 159, 378, 38, 2, 1, 5, 134
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 26, 2, 161, 381, 39, 2, 1, 4, 134
rkrGst5GramOverlapMinMatchLength3, 0, 35, 7, 405, 3223, 132, 4, 3, 9, 301
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 4, 0, 25, 24, no result, 0, 0, 1, 11
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 24, 2, 161, 376, 36, 2, 1, 5, 138
manhattanNormalized3Grams, 0, 5, 0, 15, 11, 5, 1, 0, 1, 6
damerauLevenshteinStandard, 0, 31, 4, 570, 1738, 139, 6, 3, 25, 337
rkrGst3GramDiceMinMatchLength3, 0, 36, 5, 307, 2239, 144, 3, 3, 8, 265
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 4, 0, 26, 24, no result, 0, 0, 1, 11
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 2, 0, 17, 13, 6, 0, 1, 0, 7
jaccardNormalized2Grams, 0, 3, 0, 9, 7, 3, 0, 0, 1, 4
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 2, 0, 18, 14, 6, 0, 0, 0, 8
dice5Grams, 0, 2, 0, 8, 7, 3, 0, 0, 0, 4
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 23, 2, 138, 352, 34, 2, 1, 4, 171
diceNormalizedTokens, 0, 1, 0, 4, 3, 1, 0, 0, 0, 1
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 3, 0, 20, 13, 6, 0, 0, 0, 7
winnowingNormalizedTokenOverlap, 0, 1, 0, 5, 4, 3, 0, 0, 0, 2
diceVariantNormalizedShingles2, 0, 3, 0, 11, 7, no result, 0, 0, 1, 4
levenshteinNormalized, 0, 4, 0, 51, 138, 11, 1, 0, 3, 39
winnowingNormalized4GramOverlap, 0, 3, 0, 10, 8, 3, 0, 0, 0, 5
rkrGstTokenDiceVariantMinMatchLength3, 0, 2, 0, 16, 13, 6, 0, 0, 0, 6
cosineNormalizedShingle3TermFrequency, 0, 3, 0, 11, 9, no result, 0, 0, 1, no result
longestCommonSubsequence2GramFingerprintNormalized, 0, 6, 0, 55, 147, 11, 0, 0, 3, 42
diceNormalizedPadding3grams, 0, 3, 0, 10, 9, 3, 0, 0, 1, 5
rkrGst5GramJaccardMinMatchLength2, 0, 43, 6, 415, 3331, 132, 4, 3, 10, 335
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 2, 0, 16, 12, 7, 0, 0, 0, 6
rkrGst3GramOverlapMinMatchLength3, 0, 35, 5, 328, 2271, 140, 4, 3, 8, 265
jaccardNormalizedTokens, 0, 3, 0, 11, 7, 3, 0, 0, 0, 4
rkrGst5GramOverlapMinMatchLength1, 0, 43, 6, 405, 3254, 136, 4, 3, 9, 327
rkrGst4GramDiceMinMatchLength1, 0, 38, 5, 363, 3003, 143, 4, 3, 8, 281
jaccard4Grams, 0, 3, 0, 9, 7, 3, 0, 0, 0, 4
winnowingShingle2Jaccard, 0, 2, 0, 6, 4, no result, 0, 0, 0, 2
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 4, 0, 27, 28, no result, 0, 0, 1, no result
cosineNormalizedShingle2Bool, 0, 3, 0, 10, 7, no result, 0, 0, 1, 4
diceNormalized5Grams, 0, 3, 0, 9, 8, 3, 0, 1, 0, 4
winnowing3GramJaccard, 0, 2, 0, 9, 8, 3, 0, 0, 0, 4
rkrGstShingle2DiceVariantMinMatchLength2, 0, 3, 0, 25, 18, no result, 0, 0, 1, 9
cosineNormalizedTokensTermFrequency, 0, 1, 0, 5, 3, 2, 0, 0, 0, 2
damerauLevenshteinNormalized, 0, 25, 4, 304, 944, 61, 4, 2, 17, 241
winnowingTokenDice, 0, 1, 0, 3, 2, 1, 0, 0, 0, 1
winnowingNormalizedShingle3Overlap, 0, 3, 0, 11, 7, no result, 0, 0, 0, no result
longestCommonSubsequenceStandard, 0, 9, 1, 168, 459, 45, 1, 0, 7, 92
diceVariantTokens, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 0, 28, 22, no result, 0, 0, 1, no result
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 25, 2, 135, 334, 37, 2, 1, 4, 152
overlapShingles2, 0, 1, 0, 6, 4, no result, 0, 0, 0, 2
jaccard3Grams, 0, 3, 0, 9, 6, 5, 0, 0, 0, 4
