max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 86, 4, 1, 14, no result, 16, 0, 10, no result
diceVariantNormalized5Grams, 0, 20, 1, 0, 3, 0, 5, 0, 3, 0
rkrGst4GramDiceVariantMinMatchLength1, 0, 799, 23, 5, 97, 2, 84, 0, 58, 4
rkrGst2GramJaccardMinMatchLength2, 0, 613, 19, 4, 69, 3, 74, 0, 53, 4
rkrGstShingle2DiceMinMatchLength3, 0, 60, 2, 0, 11, no result, 9, 0, 6, 0
rkrGst2GramDiceMinMatchLength1, 0, 644, 21, 5, 73, 2, 76, 0, 56, 4
winnowingNormalized2GramOverlap, 0, 20, 1, 1, 3, 0, 5, 0, 2, 0
cosineNormalized3GramsNormalizedTermFrequency, 0, 29, 3, 1, 7, 0, 6, 0, 4, 1
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 551, 20, 4, 60, 2, 67, 0, 46, 4
rkrGst3GramOverlapMinMatchLength2, 0, 673, 19, 4, 74, 1, 72, 0, 55, 4
rkrGstNormalizedShingle3DiceMinMatchLength1, 0, 92, 4, 1, 15, no result, 17, 0, 10, no result
cosineNormalizedShingle2Bool, 0, 29, 2, 1, 6, no result, 6, 0, 4, 0
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 541, 17, 4, 54, 4, 63, 0, 48, 3
rkrGstNormalized3GramDiceMinMatchLength3, 0, 547, 17, 4, 51, 1, 60, 0, 41, 3
optimalAlignment3GramFingerprintNormalized, 0, 192, 12, 1, 21, 0, 44, 0, 21, 1
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 50, 1, 0, 8, 0, 6, 0, 4, 0
diceNormalizedPadding3grams, 0, 20, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst2GramDiceMinMatchLength2, 0, 599, 19, 4, 70, 2, 66, 0, 49, 3
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 80, 4, 1, 13, no result, 16, 0, 8, 1
damerauLevenshteinNormalized, 0, 605, 34, 2, 72, 1, 136, 0, 74, 3
diceVariantNormalized2Grams, 0, 17, 1, 0, 3, 0, 3, 0, 2, 0
diceNormalizedPadding2grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
rkrGstTokenJaccardMinMatchLength1, 0, 48, 1, 0, 8, 0, 9, 0, 5, 0
longestCommonSubsequence2GramFingerprint, 0, 47, 3, 1, 6, 0, 9, 0, 5, 0
rkrGstNormalized2GramOverlapMinMatchLength1, 0, 526, 17, 5, 57, 2, 62, 0, 41, 4
rkrGstNormalized5GramJaccardMinMatchLength2, 0, 578, 18, 4, 60, 2, 81, 0, 51, 4
jaccardNormalized3Grams, 0, 21, 2, 1, 3, 0, 4, 0, 3, 0
rkrGstTokenJaccardMinMatchLength2, 0, 45, 1, 0, 8, 0, 7, 0, 4, 0
rkrGstShingle2JaccardMinMatchLength1, 0, 69, 2, 2, 13, no result, 10, 0, 7, 0
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 24, 1, 1, 4, no result, 5, 0, 3, no result
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 48, 1, 0, 9, 0, 6, 0, 5, 0
rkrGstNormalized4GramOverlapMinMatchLength2, 0, 558, 17, 3, 56, 1, 61, 0, 46, 3
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 94, 4, 1, 19, no result, 17, 0, 10, no result
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 59, 2, 0, 9, 0, 7, 0, 5, 0
jaccardNormalizedShingles2, 0, 23, 1, 1, 4, no result, 5, 0, 3, 0
diceShingles2, 0, 13, 0, 0, 2, no result, 2, 0, 1, 0
cosineNormalizedShingle3Bool, 0, 26, 2, 1, 6, no result, 6, 0, 4, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 95, 4, 1, 14, no result, 18, 0, 9, no result
cosineNormalized5GramsTermFrequency, 0, 36, 3, 1, 7, 0, 8, 0, 5, 1
winnowingShingle2DiceVariant, 0, 11, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalized5GramDiceVariantMinMatchLength2, 0, 577, 18, 4, 59, 1, 64, 0, 55, 4
rkrGstNormalized4GramDiceMinMatchLength1, 0, 588, 18, 4, 56, 2, 76, 0, 47, 3
cosineNormalized2GramsBool, 0, 22, 2, 1, 4, 0, 5, 0, 3, 0
rkrGstNormalizedShingle3JaccardMinMatchLength1, 0, 92, 4, 3, 15, no result, 18, 0, 10, no result
rkrGstShingle2OverlapMinMatchLength3, 0, 59, 2, 0, 9, no result, 9, 0, 6, 0
overlapNormalizedPadding3grams, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 49, 1, 1, 8, 0, 7, 0, 5, 0
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 586, 18, 4, 56, 1, 63, 0, 46, 3
diceVariant4Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
diceVariantNormalized4Grams, 0, 20, 1, 0, 3, 0, 4, 0, 2, 0
winnowingShingle3DiceVariant, 0, no result, 0, 0, 2, no result, 2, 0, 3, no result
rkrGst3GramDiceMinMatchLength1, 0, 684, 20, 5, 77, 2, 80, 0, 55, 4
rkrGst3GramDiceMinMatchLength2, 0, 653, 19, 4, 70, 1, 86, 0, 57, 4
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 3, 1, 16, no result, 12, 0, 7, no result
winnowingNormalized3GramJaccard, 0, 20, 2, 2, 4, 0, 5, 0, 3, 0
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 625, 18, 4, 65, 1, 77, 0, 50, 3
diceVariantTokens, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0
rkrGstNormalized4GramJaccardMinMatchLength1, 0, 671, 19, 4, 71, 2, 69, 0, 48, 4
winnowingNormalized3GramDice, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
rkrGst5GramDiceMinMatchLength3, 0, 759, 20, 4, 77, 2, 78, 0, 57, 4
rkrGstNormalizedTokenJaccardMinMatchLength3, 0, 51, 2, 0, 11, 0, 7, 0, 6, 0
jaccard2Grams, 0, 15, 1, 1, 3, 0, 3, 0, 2, 0
jaccardNormalizedPadding5grams, 0, 28, 2, 1, 4, 0, 5, 0, 3, 0
diceVariantShingles3, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
rkrGstTokenDiceMinMatchLength2, 0, 43, 1, 0, 7, 0, 6, 0, 4, 0
diceVariantNormalizedShingles3, 0, 23, 1, 1, 6, no result, 5, 0, 3, no result
rkrGst4GramDiceVariantMinMatchLength3, 0, 712, 24, 5, 75, 2, 89, 0, 61, 4
diceVariant3Grams, 0, 14, 1, 0, 2, 0, 2, 0, 2, 0
winnowingNormalized5GramJaccard, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized3GramJaccardMinMatchLength3, 0, 518, 17, 4, 55, 1, 63, 0, 41, 3
cosineNormalizedShingle3NormalizedTermFrequency, 0, 26, 2, 1, 5, no result, 5, 0, 4, no result
levenshteinNormalized, 0, 97, 6, 0, 12, 0, 23, 0, 11, 0
rkrGst3GramDiceVariantMinMatchLength2, 0, 669, 20, 4, 70, 1, 70, 0, 54, 4
rkrGst3GramOverlapMinMatchLength1, 0, 682, 20, 5, 77, 2, 87, 0, 55, 4
overlapShingles2, 0, 13, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstNormalized2GramDiceMinMatchLength3, 0, 501, 21, 3, 53, 1, 57, 0, 38, 3
diceVariant5Grams, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstShingle2JaccardMinMatchLength2, 0, 62, 2, 1, 10, no result, 9, 0, 12, 0
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 91, 4, 1, 14, no result, 16, 0, 9, no result
longestCommonSubsequence4GramFingerprintNormalized, 0, 73, 5, 0, 9, 1, 18, 0, 9, 0
rkrGst5GramJaccardMinMatchLength3, 0, 749, 20, 5, 81, 2, 80, 0, 59, 4
rkrGst3GramJaccardMinMatchLength3, 0, 656, 20, 4, 70, 2, 73, 0, 54, 4
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 560, 18, 4, 52, 1, 60, 0, 41, 3
diceNormalizedPadding4grams, 0, 19, 1, 1, 3, 0, 4, 0, 3, 0
jaccardNormalized4Grams, 0, 22, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 589, 19, 4, 56, 2, 67, 0, 54, 4
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
winnowingNormalizedTokenJaccard, 0, 9, 0, 0, 1, 0, 1, 0, 1, 0
diceVariantNormalizedPadding5grams, 0, 20, 1, 1, 3, 0, 4, 0, 2, 0
jaccard4Grams, 0, 19, 1, 0, 3, 0, 4, 0, 4, 0
winnowing5GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
diceVariant2Grams, 0, 12, 1, 0, 2, 0, 2, 0, 1, 0
winnowing3GramDiceVariant, 0, 16, 1, 0, 2, 0, 3, 0, 3, 0
diceNormalizedTokens, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0
diceVariantNormalizedShingles2, 0, 22, 1, 1, 5, no result, 5, 0, 3, 0
diceNormalized4Grams, 0, 21, 1, 1, 3, 0, 4, 0, 2, 0
winnowingNormalized2GramDiceVariant, 0, 20, 1, 2, 3, 0, 4, 0, 2, 0
cosineNormalized3GramsBool, 0, 31, 2, 1, 5, 0, 6, 0, 4, 1
diceVariantNormalizedPadding4grams, 0, 20, 1, 1, 3, 0, 4, 0, 2, 0
jaccardShingles3, 0, no result, 0, 0, 3, no result, 2, 0, 2, no result
cosineNormalized4GramsBool, 0, 37, 2, 1, 5, 0, 6, 0, 5, 1
cosineNormalized5GramsBool, 0, 36, 2, 1, 7, 0, 7, 0, 5, 1
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 513, 16, 4, 52, 1, 62, 0, 39, 3
optimalAlignment5GramFingerprintNormalized, 0, 185, 12, 1, 21, 0, 43, 0, 21, 1
rkrGst2GramOverlapMinMatchLength1, 0, 655, 22, 6, 74, 2, 73, 0, 51, 4
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 87, 4, 2, 15, no result, 18, 0, 18, no result
rkrGstNormalizedTokenDiceVariantMinMatchLength3, 0, 51, 1, 0, 9, 0, 6, 0, 5, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 589, 19, 3, 52, 1, 60, 0, 42, 4
overlapNormalizedPadding5grams, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 579, 19, 4, 66, 1, 64, 0, 47, 4
rkrGstShingle3DiceMinMatchLength1, 0, no result, 2, 1, 14, no result, 13, 0, 7, no result
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 2, 1, 17, no result, 12, 0, 8, no result
jaccard5Grams, 0, 18, 1, 0, 3, 0, 4, 0, 2, 0
optimalAlignment3GramFingerprint, 0, 238, 14, 1, 30, 0, 56, 0, 30, 1
winnowing2GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalized2GramJaccardMinMatchLength3, 0, 492, 17, 4, 49, 1, 59, 0, 43, 3
overlapNormalized3Grams, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
optimalAlignment4GramFingerprintNormalized, 0, 187, 12, 1, 22, 0, 47, 0, 21, 1
winnowingNormalized4GramOverlap, 0, 21, 1, 1, 3, 0, 4, 0, 3, 1
rkrGst5GramDiceVariantMinMatchLength1, 0, 811, 21, 5, 85, 2, 101, 0, 70, 5
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 93, 4, 2, 14, no result, 18, 0, 10, 1
optimalAlignmentNormalized, 0, 437, 24, 2, 51, 1, 103, 0, 57, 3
rkrGstNormalizedTokenDiceMinMatchLength3, 0, 62, 2, 0, 8, 0, 6, 0, 6, 0
rkrGstShingle3DiceMinMatchLength2, 0, no result, 3, 1, 16, no result, 11, 0, 7, no result
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 669, 20, 4, 69, 1, 83, 0, 52, 4
rkrGstNormalizedShingle2OverlapMinMatchLength2, 0, 78, 3, 1, 13, no result, 20, 0, 11, 1
rkrGstShingle2DiceVariantMinMatchLength1, 0, 68, 2, 1, 12, no result, 12, 0, 8, 0
rkrGst3GramJaccardMinMatchLength2, 0, 764, 24, 6, 84, 2, 71, 0, 51, 4
jaccardNormalized5Grams, 0, 24, 1, 1, 4, 0, 5, 0, 3, 0
rkrGst4GramDiceMinMatchLength1, 0, 766, 21, 5, 77, 2, 84, 0, 59, 4
overlapNormalized4Grams, 0, 20, 1, 0, 3, 0, 4, 0, 2, 0
rkrGst2GramJaccardMinMatchLength1, 0, 651, 24, 6, 76, 2, 75, 0, 54, 4
rkrGstTokenOverlapMinMatchLength3, 0, 44, 1, 0, 7, 0, 7, 0, 5, 0
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 3, 0, 12, no result, 10, 0, 7, no result
jaccardNormalizedPadding2grams, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 641, 18, 4, 63, 3, 72, 0, 49, 5
jaccardNormalizedPadding3grams, 0, 21, 1, 1, 4, 0, 4, 0, 3, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 917, 22, 5, 90, 2, 71, 0, 52, 4
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 70, 2, 1, 10, 0, 7, 0, 6, 0
rkrGstShingle2JaccardMinMatchLength3, 0, 71, 2, 2, 12, no result, 10, 0, 6, 0
winnowing4GramJaccard, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 77, 4, 1, 14, no result, 17, 0, 9, 1
levenshteinStandard, 0, 112, 6, 0, 12, 0, 22, 0, 11, 0
winnowingTokenOverlap, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0
winnowingNormalized3GramOverlap, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
overlapNormalizedShingles3, 0, 26, 2, 1, 4, no result, 5, 0, 3, no result
diceVariantNormalizedPadding2grams, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
winnowingNormalizedShingle3Overlap, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
optimalAlignment4GramFingerprint, 0, 239, 18, 1, 34, 0, 57, 0, 32, 1
diceVariantNormalizedPadding3grams, 0, 19, 1, 0, 3, 0, 4, 0, 3, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 26, 1, 1, 5, no result, 5, 0, 3, 0
manhattanNormalized3Grams, 0, 29, 2, 1, 5, 0, 6, 0, 4, 1
damerauLevenshteinStandard, 0, 566, 33, 2, 71, 1, 134, 0, 64, 3
cosineNormalized3GramsTermFrequency, 0, 29, 2, 1, 5, 0, 6, 0, 4, 1
rkrGstShingle2DiceMinMatchLength1, 0, 77, 2, 1, 10, no result, 9, 0, 6, 0
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 621, 19, 4, 62, 2, 72, 0, 48, 4
winnowingNormalized2GramDice, 0, 19, 1, 1, 3, 0, 5, 0, 3, 0
winnowing5GramJaccard, 0, 16, 1, 0, 3, 0, 3, 0, 2, 0
cosineNormalized4GramsNormalizedTermFrequency, 0, 35, 2, 1, 5, 0, 6, 0, 5, 1
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 47, 1, 0, 8, 0, 6, 0, 6, 0
winnowing4GramDice, 0, 15, 1, 0, 2, 0, 3, 0, 2, 0
manhattanNormalized2Grams, 0, 25, 2, 1, 4, 0, 4, 0, 3, 0
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 544, 19, 4, 51, 1, 60, 0, 41, 3
rkrGstNormalized3GramDiceMinMatchLength2, 0, 510, 16, 3, 48, 1, 58, 0, 42, 3
overlap2Grams, 0, 13, 1, 0, 2, 0, 2, 0, 1, 0
rkrGstShingle2DiceVariantMinMatchLength2, 0, 62, 2, 0, 10, no result, 10, 0, 6, 0
winnowingNormalized4GramDice, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
rkrGstTokenDiceMinMatchLength1, 0, 48, 1, 0, 8, 0, 7, 0, 4, 0
rkrGst5GramOverlapMinMatchLength3, 0, 735, 22, 4, 77, 2, 81, 0, 61, 4
cosineNormalizedShingle2NormalizedTermFrequency, 0, 25, 2, 1, 5, no result, 5, 0, 3, 0
overlapShingles3, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
rkrGst2GramOverlapMinMatchLength3, 0, 605, 20, 5, 70, 2, 70, 0, 52, 4
cosineNormalized5GramsNormalizedTermFrequency, 0, 36, 2, 1, 6, 0, 7, 0, 5, 1
rkrGstNormalized3GramOverlapMinMatchLength1, 0, 544, 20, 4, 55, 2, 65, 0, 44, 3
rkrGst2GramDiceVariantMinMatchLength3, 0, 607, 20, 4, 69, 2, 70, 0, 50, 4
winnowing3GramDice, 0, 17, 1, 0, 2, 0, 3, 0, 2, 0
cosineNormalizedTokensNormalizedTermFrequency, 0, 11, 0, 0, 2, 0, 2, 0, 1, 0
jaccardNormalizedTokens, 0, 24, 1, 0, 4, 0, 5, 0, 3, 0
optimalAlignment2GramFingerprintNormalized, 0, 184, 12, 1, 22, 0, 44, 0, 21, 1
rkrGstTokenOverlapMinMatchLength2, 0, 41, 1, 0, 7, 0, 6, 0, 4, 0
rkrGstShingle2OverlapMinMatchLength1, 0, 63, 2, 1, 10, no result, 9, 0, 6, 0
cosineNormalized2GramsTermFrequency, 0, 23, 2, 1, 4, 0, 4, 0, 3, 0
rkrGstNormalized2GramDiceVariantMinMatchLength1, 0, 514, 17, 4, 53, 1, 62, 0, 40, 4
overlap5Grams, 0, 15, 1, 1, 2, 0, 4, 0, 2, 0
winnowingShingle3Jaccard, 0, no result, 0, 0, 2, no result, 2, 0, 2, no result
jaccardShingles2, 0, 13, 0, 0, 2, no result, 2, 0, 1, 0
manhattanNormalized4Grams, 0, 34, 2, 1, 5, 0, 6, 0, 5, 1
winnowingNormalizedShingle2Overlap, 0, 22, 1, 1, 4, no result, 4, 0, 3, 0
rkrGstNormalized3GramDiceMinMatchLength1, 0, 587, 20, 4, 54, 2, 66, 0, 45, 3
winnowingNormalized4GramDiceVariant, 0, 19, 1, 1, 3, 0, 4, 0, 2, 0
rkrGst2GramDiceVariantMinMatchLength1, 0, 633, 21, 6, 73, 2, 73, 0, 52, 4
optimalAlignmentShingle3Fingerprint, 0, no result, 1, 0, 3, no result, 3, 0, 2, no result
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
winnowing4GramDiceVariant, 0, 19, 1, 0, 5, 0, 4, 0, 2, 0
rkrGst4GramJaccardMinMatchLength2, 0, 714, 25, 6, 73, 2, 79, 0, 56, 4
optimalAlignment5GramFingerprint, 0, 239, 14, 1, 30, 0, 70, 0, 29, 1
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 100, 4, 1, 14, no result, 21, 0, 11, 1
optimalAlignmentShingle3FingerprintNormalized, 0, 35, 2, 1, 5, no result, 6, 0, 4, no result
diceNormalized5Grams, 0, 25, 2, 1, 4, 0, 5, 0, 3, 0
winnowingNormalizedShingle2DiceVariant, 0, 22, 1, 1, 5, no result, 5, 0, 3, 0
rkrGstNormalized4GramJaccardMinMatchLength2, 0, 640, 19, 4, 54, 1, 77, 0, 54, 3
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 111, 5, 2, 15, no result, 19, 0, 12, no result
dice4Grams, 0, 19, 1, 0, 3, 0, 4, 0, 2, 0
manhattanNormalized5Grams, 0, 35, 2, 1, 6, 0, 8, 0, 6, 1
winnowingNormalizedShingle3Dice, 0, 28, 2, 1, 5, no result, 6, 0, 3, no result
rkrGstNormalized4GramDiceMinMatchLength2, 0, 622, 21, 5, 50, 2, 69, 0, 42, 3
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 85, 4, 1, 16, no result, 20, 0, 10, no result
rkrGst2GramOverlapMinMatchLength2, 0, 647, 19, 4, 68, 1, 68, 0, 51, 3
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 506, 18, 4, 48, 1, 58, 0, 41, 3
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 76, 3, 1, 13, no result, 16, 0, 11, 1
cosineNormalizedTokensTermFrequency, 0, 13, 0, 0, 2, 0, 2, 0, 2, 0
longestCommonSubsequence2GramFingerprintNormalized, 0, 76, 5, 0, 9, 0, 20, 0, 10, 0
diceVariantShingles2, 0, 12, 0, 0, 2, no result, 3, 0, 2, 0
diceVariantNormalized3Grams, 0, 18, 1, 1, 3, 0, 3, 0, 2, 0
rkrGst5GramOverlapMinMatchLength2, 0, 728, 22, 6, 79, 2, 79, 0, 61, 5
rkrGstShingle3DiceMinMatchLength3, 0, no result, 2, 0, 12, no result, 10, 0, 8, no result
longestCommonSubsequence3GramFingerprintNormalized, 0, 75, 5, 0, 9, 0, 17, 0, 8, 0
