similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalizedShingle2Jaccard, 0, 7, 1, 2, 0, no result, 2, 0, 1, 0
diceVariantNormalizedPadding4grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3JaccardMinMatchLength2, 0, 2, 0, 10, 0, no result, 1, 0, 0, no result
cosineNormalized4GramsTermFrequency, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0
optimalAlignment5GramFingerprint, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst3GramJaccardMinMatchLength2, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 27, 5, 0, 7, 0, 0, 0, 0, 8
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 1, 0, 9, 0, no result, 0, 0, 0, 8
rkrGstNormalized2GramDiceVariantMinMatchLength3, 0, 30, 6, 9, 10, 0, 10, 0, 1, 8
rkrGst5GramJaccardMinMatchLength3, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
winnowing3GramDiceVariant, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 1, 0, 10, 0, no result, 0, 0, 0, 8
rkrGstTokenDiceMinMatchLength1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1
rkrGst2GramOverlapMinMatchLength2, 0, 25, 8, 0, 10, 0, 7, 0, 10, 0
overlapNormalized2Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceVariant5Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 13, 0, 1, 0, 1, 1, 0, 0, 0
winnowingNormalized3GramOverlap, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1
winnowingNormalizedShingle3Overlap, 0, 4, 0, 1, 0, no result, 1, 0, 0, no result
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 20, 5, 0, 0, 0, 0, 0, 0, 8
dice5Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 16, 6, 4, 10, 0, 3, 0, 1, 8
rkrGstNormalized2GramOverlapMinMatchLength1, 0, 32, 7, 0, 11, 0, 11, 0, 10, 0
winnowingNormalizedShingle3Jaccard, 0, 6, 1, 2, 0, no result, 2, 0, 1, no result
winnowingShingle3Dice, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
winnowing4GramJaccard, 0, 5, 0, 1, 1, 2, 2, 0, 0, 2
rkrGst2GramJaccardMinMatchLength1, 0, 16, 5, 1, 5, 1, 1, 0, 0, 0
winnowingNormalized4GramOverlap, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1
longestCommonSubsequence5GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
cosineNormalized2GramsNormalizedTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized3GramDice, 0, 5, 0, 1, 0, 1, 0, 0, 0, 1
jaccardNormalizedShingles2, 0, 2, 0, 1, 0, no result, 1, 0, 0, 0
diceVariantNormalizedPadding3grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength1, 0, 13, 0, 1, 0, 1, 1, 0, 0, 0
longestCommonSubsequence3GramFingerprint, 0, 6, 0, 2, 0, 2, 4, 0, 1, 1
rkrGst5GramOverlapMinMatchLength3, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle3FingerprintNormalized, 0, 2, 0, 2, 0, no result, 1, 0, 0, no result
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 1, 0, 10, 0, no result, 0, 0, 0, no result
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalized5Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstShingle3DiceMinMatchLength3, 0, no result, 0, 10, 6, no result, 1, 0, 0, no result
overlapNormalizedPadding2grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
longestCommonSubsequence2GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized3GramOverlapMinMatchLength2, 0, 15, 0, 0, 7, 0, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
winnowing4GramDice, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized5GramJaccardMinMatchLength3, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
